deviceModel,friendlyName
Libreview_DE,Abbott FreeStyle Libre
1511,Unknown
Medtronic 780G,Unknown
4280,Unknown
Network G4 and xBridge,Unknown
926,Accu-Chek Guide
番茄,Unknown
欧态-小欧生态,Unknown
فري ستايل ليبري 2,Unknown
Network G4 and Classic xDrip,Unknown
Network LimiTTer,Unknown
Medtronic Connect,Unknown
Atom,Unknown
Autocode,Prodigy AutoCode
GK+ Meter,Keto Mojo
